iter	Passed	Remaining
0	150	150362
1	152	76293
2	155	51523
3	157	39176
4	159	31719
5	161	26833
6	164	23269
7	166	20594
8	168	18507
9	170	16837
10	172	15496
11	174	14369
12	177	13440
13	179	12635
14	181	11924
15	183	11289
16	185	10736
17	187	10241
18	190	9818
19	192	9438
20	195	9102
21	197	8789
22	200	8503
23	202	8241
24	205	8000
25	207	7778
26	210	7575
27	212	7384
28	215	7204
29	217	7031
30	219	6871
31	222	6724
32	224	6577
33	226	6442
34	228	6309
35	231	6186
36	233	6074
37	235	5967
38	237	5863
39	240	5762
40	242	5662
41	244	5567
42	246	5478
43	248	5392
44	250	5309
45	252	5238
46	254	5165
47	256	5096
48	259	5028
49	261	4960
50	263	4896
51	265	4835
52	267	4778
53	269	4726
54	271	4671
55	274	4619
56	276	4567
57	278	4518
58	280	4472
59	282	4425
60	284	4383
61	286	4341
62	289	4300
63	291	4258
64	293	4218
65	295	4180
66	297	4144
67	299	4109
68	302	4080
69	304	4047
70	306	4013
71	308	3982
72	311	3950
73	313	3917
74	315	3888
75	317	3863
76	319	3834
77	321	3805
78	324	3778
79	326	3752
80	328	3727
81	330	3703
82	333	3680
83	335	3657
84	337	3632
85	339	3608
86	341	3585
87	343	3562
88	345	3539
89	348	3518
90	350	3498
91	352	3476
92	354	3455
93	356	3436
94	358	3417
95	360	3397
96	362	3378
97	365	3361
98	367	3343
99	369	3326
100	371	3309
101	374	3293
102	376	3275
103	378	3257
104	380	3241
105	382	3225
106	384	3210
107	386	3195
108	389	3181
109	391	3167
110	393	3154
111	396	3142
112	398	3130
113	401	3116
114	403	3103
115	405	3088
116	407	3074
117	409	3061
118	411	3047
119	413	3035
120	416	3023
121	418	3011
122	420	3000
123	422	2987
124	425	2975
125	426	2961
126	429	2951
127	431	2940
128	433	2928
129	435	2916
130	437	2905
131	439	2893
132	442	2881
133	444	2871
134	446	2861
135	448	2849
136	450	2838
137	452	2827
138	454	2817
139	457	2807
140	459	2797
141	461	2787
142	463	2778
143	465	2769
144	467	2759
145	470	2749
146	472	2739
147	474	2729
148	476	2721
149	478	2711
150	480	2702
151	482	2692
152	484	2682
153	486	2674
154	488	2664
155	490	2655
156	492	2646
157	495	2639
158	497	2630
159	499	2621
160	501	2612
161	503	2603
162	505	2595
163	507	2587
